service_id,brand,model,model_year,service_date,service_type,service_cost
79,Jaguar,XF 35t R-Sport,2017,2020-03-19,Oil Change,119.12
80,Lexus,ES 330 Base,2005,2020-03-20,Engine Check,323.47
81,Land,Rover Discovery Sport SE R-Dynamic,2020,2020-03-21,Oil Change,450.17
82,Porsche,Cayman GTS,2015,2020-03-22,Brake Replacement,462.59
83,Genesis,G90 3.3T Premium,2021,2020-03-23,Oil Change,269.99
84,Volkswagen,Golf R 20th Anniversary Edition,2023,2020-03-24,Brake Replacement,460.15
85,Hyundai,Sonata Hybrid Limited,2015,2020-03-25,Tire Rotation,239.24
86,Audi,RS 7 4.0T Prestige,2014,2020-03-26,Tire Rotation,424.07
87,BMW,740 Li,2012,2020-03-27,Tire Rotation,308.39
88,Mercedes-Benz,GLS 450 Base 4MATIC,2020,2020-03-28,Engine Check,387.71
89,BMW,M6 Base,2016,2020-03-29,Engine Check,68.04
90,Subaru,Forester 2.5 X,2004,2020-03-30,Brake Replacement,59.67
91,Hyundai,Elantra N Base,2023,2020-03-31,Engine Check,101.18
92,Kia,Niro Plug-In Hybrid EX Premium,2022,2020-04-01,Brake Replacement,300.11
93,Rivian,R1S Adventure Package,2023,2020-04-02,Tire Rotation,378.17
94,Aston,Martin DBS Superleggera,2021,2020-04-03,Engine Check,306.29
95,Mercedes-Benz,SLC 300 Base,2018,2020-04-04,Brake Replacement,287.72
96,BMW,435 Gran Coupe i,2016,2020-04-05,Tire Rotation,401.25
97,Jeep,Grand Cherokee Summit,2020,2020-04-06,Tire Rotation,118.05
98,Lexus,RC 350 Base,2015,2020-04-07,Brake Replacement,148.94
99,BMW,525 i,2005,2020-04-08,Tire Rotation,491.83
100,Toyota,Corolla LE,2003,2020-04-09,Engine Check,134.42
101,Cadillac,CT5-V Blackwing,2023,2020-04-10,Tire Rotation,70.61
102,GMC,Acadia SLT-1,2012,2020-04-11,Brake Replacement,134.07
103,Lexus,LC 500 Base,2020,2020-04-12,Oil Change,339.46
104,BMW,i8 Base,2019,2020-04-13,Engine Check,172.09
105,Lexus,ES 300h Base,2013,2020-04-14,Engine Check,294.94
106,Cadillac,CT5-V V-Series,2022,2020-04-15,Tire Rotation,253.79
107,BMW,540 i xDrive,2020,2020-04-16,Engine Check,254.2
108,Chevrolet,Express 1500 Work Van,2014,2020-04-17,Brake Replacement,252.21
109,Jeep,Gladiator Rubicon,2022,2020-04-18,Tire Rotation,275.52
110,BMW,Z4 sDrive28i,2014,2020-04-19,Brake Replacement,146.26
111,Land,Rover LR4 HSE LUX Landmark Edition,2016,2020-04-20,Engine Check,359.33
112,Cadillac,XT4 Sport,2019,2020-04-21,Oil Change,281.21
113,BMW,750 750i xDrive,2021,2020-04-22,Tire Rotation,260.28
114,Bentley,Arnage R,2005,2020-04-23,Oil Change,104.82
115,Lincoln,Aviator Reserve AWD,2020,2020-04-24,Engine Check,370.45
116,Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,2020-04-25,Oil Change,168.31
117,RAM,ProMaster 3500 High Roof,2021,2020-04-26,Oil Change,240.74
118,Ford,Utility Police Interceptor Base,2013,2020-04-27,Tire Rotation,72.89
119,Audi,A5 2.0T Premium,2011,2020-04-28,Tire Rotation,130.13
120,Nissan,GT-R Premium,2010,2020-04-29,Oil Change,397.5
121,Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,2020-04-30,Brake Replacement,355.74
122,Toyota,Corolla LE,2010,2020-05-01,Tire Rotation,345.24
123,Rivian,R1S Adventure Package,2023,2020-05-02,Oil Change,481.22
124,Mercedes-Benz,C-Class C300 4MATIC,2022,2020-05-03,Engine Check,352.02
125,Porsche,Cayenne E-Hybrid S,2016,2020-05-04,Brake Replacement,122.13
126,Chevrolet,Express 1500 Work Van,2011,2020-05-05,Brake Replacement,487.57
127,INFINITI,Q70h Base,2016,2020-05-06,Tire Rotation,391.37
128,Audi,A7 Premium Plus,2020,2020-05-07,Engine Check,257.94
129,Audi,Q7 3.0T Premium Plus,2015,2020-05-08,Oil Change,106.98
130,Lucid,Air Pure,2023,2020-05-09,Oil Change,359.8
131,Chrysler,Pacifica Touring,2017,2020-05-10,Oil Change,479.38
132,Audi,TTS 2.0T Premium Plus,2012,2020-05-11,Oil Change,174.95
133,BMW,650 Gran Coupe i xDrive,2015,2020-05-12,Oil Change,138.19
134,Subaru,Forester Premium,2021,2020-05-13,Oil Change,357.04
135,Mercedes-Benz,AMG C AMG C 63,2016,2020-05-14,Oil Change,478.84
136,Land,Rover LR3 HSE,2006,2020-05-15,Oil Change,134.6
137,BMW,X7 xDrive40i,2019,2020-05-16,Engine Check,472.74
138,Ford,Transit Connect XLT,2015,2020-05-17,Tire Rotation,281.74
139,Lexus,LX 570 Three-Row,2021,2020-05-18,Brake Replacement,256.53
140,Porsche,911 Carrera S,2013,2020-05-19,Tire Rotation,254.08
141,Dodge,Ram 2500 Laramie Quad Cab,2006,2020-05-20,Oil Change,368.34
142,Nissan,Armada SL,2021,2020-05-21,Oil Change,180.59
143,Porsche,Cayman Base,2014,2020-05-22,Brake Replacement,452.95
144,Mercedes-Benz,GLE 450 GLE 450,2022,2020-05-23,Tire Rotation,188.23
145,Chevrolet,Monte Carlo SS,2006,2020-05-24,Brake Replacement,346.71
146,BMW,M5 Base,2013,2020-05-25,Brake Replacement,408.21
147,Hyundai,Kona N Base,2023,2020-05-26,Brake Replacement,282.39
148,Chevrolet,Monte Carlo SS,2005,2020-05-27,Engine Check,244.11
149,Land,Rover Range Rover Evoque Pure,2015,2020-05-28,Engine Check,301.87
150,Audi,S7 4.0T Premium Plus,2017,2020-05-29,Engine Check,441.15
151,GMC,Acadia SLT-1,2011,2020-05-30,Tire Rotation,378.53
152,Alfa,Romeo Stelvio Ti Sport,2020,2020-05-31,Engine Check,107.85
153,Ferrari,FF Base,2016,2020-06-01,Engine Check,274.66
154,Kia,K900 5.0L,2017,2020-06-02,Tire Rotation,216.66
155,Ford,E150 XLT,2013,2020-06-03,Brake Replacement,234.16
156,Tesla,Model 3 Performance,2022,2020-06-04,Engine Check,155.2
157,Toyota,4Runner SR5,2022,2020-06-05,Engine Check,141.18
158,Subaru,Forester Base,2020,2020-06-06,Tire Rotation,211.39
159,Porsche,Panamera 2,2012,2020-06-07,Engine Check,184.33
160,Toyota,Tacoma PreRunner,2008,2020-06-08,Tire Rotation,438.88
161,RAM,2500 Laramie,2019,2020-06-09,Oil Change,56.23
162,Kia,Sportage Nightfall,2022,2020-06-10,Brake Replacement,264.7
163,Cadillac,DTS Base,2010,2020-06-11,Engine Check,139.28
164,Toyota,Land Cruiser Base,1997,2020-06-12,Oil Change,86.66
165,Nissan,GT-R Premium,2020,2020-06-13,Oil Change,239.78
166,Lexus,NX 350 F SPORT Handling,2023,2020-06-14,Oil Change,59.23
167,Audi,Q7 45 Premium Plus,2021,2020-06-15,Tire Rotation,404.73
168,Lexus,LX 470 Base,1999,2020-06-16,Brake Replacement,307.03
169,GMC,Terrain SLE,2022,2020-06-17,Tire Rotation,255.38
170,Ford,Escape Limited,2012,2020-06-18,Brake Replacement,367.59
171,Lexus,LS 460 L,2014,2020-06-19,Oil Change,286.33
172,Ford,Expedition Platinum,2019,2020-06-20,Oil Change,352.6
173,Chevrolet,Malibu LTZ,2010,2020-06-21,Tire Rotation,182.22
174,Audi,RS 7 4.0T quattro,2023,2020-06-22,Tire Rotation,426.48
175,Audi,A5 2.0T Premium Plus,2015,2020-06-23,Tire Rotation,157.46
176,Genesis,G70 2.0T,2023,2020-06-24,Engine Check,442.63
177,Chevrolet,Trailblazer LS,2021,2020-06-25,Oil Change,136.13
178,Scion,tC Base,2013,2020-06-26,Tire Rotation,326.29
179,Lincoln,MKZ Hybrid Base,2014,2020-06-27,Oil Change,402.84
180,Ford,Transit-350 XL,2018,2020-06-28,Oil Change,411.1
181,Porsche,911 GT2 RS,2018,2020-06-29,Engine Check,452.44
182,Ford,Explorer Timberline,2021,2020-06-30,Engine Check,56.34
183,Volvo,XC90 3.2,2011,2020-07-01,Brake Replacement,345.14
184,Chevrolet,Avalanche LTZ,2013,2020-07-02,Tire Rotation,335.24
185,Audi,TT RS 2.5T,2018,2020-07-03,Oil Change,371.85
186,Lincoln,Navigator L,2008,2020-07-04,Engine Check,58.53
187,Hyundai,Elantra GLS,2010,2020-07-05,Tire Rotation,451.3
188,Audi,SQ5 3.0T Premium Plus,2016,2020-07-06,Oil Change,424.63
189,Mitsubishi,Lancer Evolution GSR,2012,2020-07-07,Brake Replacement,360.79
190,Tesla,Model Y Performance,2023,2020-07-08,Tire Rotation,68.66
191,Mercedes-Benz,Maybach S S 600,2016,2020-07-09,Oil Change,396.01
192,Nissan,GT-R Premium,2017,2020-07-10,Brake Replacement,462.19
193,Mercedes-Benz,GLS 550 Base 4MATIC,2018,2020-07-11,Engine Check,427.08
194,Chevrolet,Blazer Premier,2019,2020-07-12,Engine Check,122.8
195,Mazda,CX-9 Grand Touring,2021,2020-07-13,Oil Change,499.35
196,Ford,Expedition Max Limited,2022,2020-07-14,Brake Replacement,338.05
197,Nissan,Titan XD SV,2020,2020-07-15,Tire Rotation,336.75
198,Lexus,LX 570 Three-Row,2019,2020-07-16,Tire Rotation,291.94
199,Chevrolet,Traverse Premier,2020,2020-07-17,Tire Rotation,478.54
200,Mercedes-Benz,Sprinter High Roof,2014,2020-07-18,Oil Change,344.45
201,BMW,X5 3.0i,2004,2020-07-19,Oil Change,402.03
202,Ford,Fusion SE,2018,2020-07-20,Oil Change,336.69
203,Lincoln,MKZ Base,2015,2020-07-21,Oil Change,360.13
204,Ford,GT,2005,2020-07-22,Engine Check,338.29
205,Genesis,G90 5.0 Ultimate,2017,2020-07-23,Oil Change,176.63
206,Lexus,LC 500 Base,2022,2020-07-24,Oil Change,436.4
207,Ford,Shelby GT500 Base,2014,2020-07-25,Brake Replacement,313.35
208,Saturn,Sky Base,2008,2020-07-26,Tire Rotation,326.45
209,Audi,RS Q8 4.0T quattro,2022,2020-07-27,Oil Change,344.14
210,Toyota,Land Cruiser,2016,2020-07-28,Brake Replacement,147.18
211,Mercedes-Benz,SL-Class SL 550,2013,2020-07-29,Oil Change,416.76
212,Porsche,911 Carrera C2S,2005,2020-07-30,Tire Rotation,143.19
213,Mercedes-Benz,AMG GLA 45 Base 4MATIC,2018,2020-07-31,Oil Change,364.9
214,Ford,Taurus X Limited,2008,2020-08-01,Oil Change,433.1
215,BMW,440 Gran Coupe i,2018,2020-08-02,Engine Check,440.21
216,Honda,S2000 CR,2008,2020-08-03,Oil Change,278.65
217,Acura,Integra w/A-Spec Tech Package,2023,2020-08-04,Brake Replacement,347.68
218,Ford,Excursion Limited,2001,2020-08-05,Engine Check,294.23
219,Mercedes-Benz,SL-Class SL500 Roadster,2004,2020-08-06,Oil Change,399.24
220,Mercedes-Benz,CLS-Class CLS 550,2007,2020-08-07,Oil Change,438.22
221,INFINITI,G35 Sport,2007,2020-08-08,Tire Rotation,139.39
222,Volkswagen,Golf GTI 2.0T S 4-Door,2016,2020-08-09,Brake Replacement,188.16
223,Dodge,Challenger R/T Scat Pack,2022,2020-08-10,Brake Replacement,455.4
224,Lincoln,Navigator L Reserve,2019,2020-08-11,Engine Check,179.68
225,Maserati,Ghibli S Q4,2015,2020-08-12,Oil Change,183.54
226,Tesla,Model X Base,2023,2020-08-13,Brake Replacement,139.23
227,Mercedes-Benz,AMG G 63 Base,2018,2020-08-14,Tire Rotation,319.07
228,Ford,Expedition Limited,2018,2020-08-15,Tire Rotation,499.11
229,Volkswagen,Routan SE,2012,2020-08-16,Oil Change,497.25
230,Bugatti,Veyron 16.4 Grand Sport,2011,2020-08-17,Oil Change,280.3
231,Toyota,Highlander XLE,2020,2020-08-18,Brake Replacement,179.58
232,Honda,Civic LX,2016,2020-08-19,Tire Rotation,315.0
233,Jeep,Wrangler Unlimited Sahara,2017,2020-08-20,Brake Replacement,183.07
234,Land,Rover Range Rover Supercharged,2008,2020-08-21,Tire Rotation,195.97
235,Acura,ILX 2.0L w/Premium Package,2015,2020-08-22,Oil Change,157.7
236,BMW,M6 Base,2016,2020-08-23,Tire Rotation,83.32
237,Polestar,2 Launch Edition,2021,2020-08-24,Engine Check,89.68
238,BMW,X6 sDrive35i,2016,2020-08-25,Oil Change,430.22
239,Porsche,Cayman S,2014,2020-08-26,Oil Change,95.88
240,Lincoln,Corsair Grand Touring,2021,2020-08-27,Engine Check,150.97
241,Cadillac,DTS Luxury II,2008,2020-08-28,Tire Rotation,125.24
242,Cadillac,ATS 3.6L Luxury,2016,2020-08-29,Oil Change,260.89
243,GMC,Sierra 1500 SLT,2016,2020-08-30,Oil Change,456.04
244,INFINITI,G37 x,2009,2020-08-31,Engine Check,120.47
245,Ford,Transit-350 XLT,2023,2020-09-01,Brake Replacement,357.69
246,Cadillac,XTS Luxury,2018,2020-09-02,Engine Check,82.71
247,Nissan,NV Passenger NV3500 HD SL V8,2017,2020-09-03,Brake Replacement,375.8
248,Mercedes-Benz,GLS 450 Base 4MATIC,2019,2020-09-04,Engine Check,305.33
249,Toyota,Land Cruiser Base,2008,2020-09-05,Brake Replacement,166.55
250,Toyota,Land Cruiser Base,2016,2020-09-06,Brake Replacement,75.21
251,RAM,ProMaster 2500 Window Van High Roof,2016,2020-09-07,Brake Replacement,263.68
252,Lamborghini,Gallardo Base,2007,2020-09-08,Oil Change,343.85
253,Lincoln,MKZ Base,2011,2020-09-09,Engine Check,280.95
254,Mercedes-Benz,EQS 450 4MATIC,2023,2020-09-10,Brake Replacement,86.88
255,Lamborghini,Huracan Tecnica Coupe,2023,2020-09-11,Engine Check,384.2
256,Alfa,Romeo Giulia Quadrifoglio,2022,2020-09-12,Brake Replacement,332.03
257,Chevrolet,Trailblazer LT,2021,2020-09-13,Engine Check,273.22
258,Toyota,Land Cruiser Base,1993,2020-09-14,Tire Rotation,198.8
259,Lamborghini,Urus Base,2021,2020-09-15,Tire Rotation,297.19
260,INFINITI,G37 x,2013,2020-09-16,Tire Rotation,175.57
261,Maserati,Levante S,2017,2020-09-17,Engine Check,325.8
262,Toyota,Highlander Limited,2022,2020-09-18,Brake Replacement,224.29
263,Nissan,Armada SL,2022,2020-09-19,Brake Replacement,418.47
264,Audi,Q5 Premium,2023,2020-09-20,Oil Change,321.27
265,Ford,Shelby GT500 Base,2022,2020-09-21,Oil Change,88.72
266,Lincoln,Navigator L Reserve,2019,2020-09-22,Engine Check,476.92
267,Mercedes-Benz,EQS 450+ Base,2022,2020-09-23,Engine Check,387.27
268,RAM,1500 Laramie,2022,2020-09-24,Tire Rotation,62.11
269,Lincoln,Town Car Base,2004,2020-09-25,Tire Rotation,232.58
270,Acura,TLX w/A-Spec Package,2022,2020-09-26,Oil Change,63.79
271,Toyota,Camry Hybrid LE,2022,2020-09-27,Engine Check,480.1
272,Honda,CR-V EX,2003,2020-09-28,Tire Rotation,274.27
273,Mercedes-Benz,E-Class E 550,2014,2020-09-29,Engine Check,163.53
274,Mazda,MX-5 Miata Grand Touring,2007,2020-09-30,Tire Rotation,491.41
275,Porsche,718 Boxster Base,2019,2020-10-01,Brake Replacement,129.73
276,Ford,Transit-350 XLT,2015,2020-10-02,Engine Check,237.17
277,Kia,Sportage SX Turbo,2017,2020-10-03,Tire Rotation,458.34
278,INFINITI,G37 S Sport,2010,2020-10-04,Engine Check,181.5
279,Nissan,Titan XD S,2019,2020-10-05,Oil Change,111.26
280,Audi,S7 2.9T Prestige,2021,2020-10-06,Engine Check,387.84
281,Land,Rover Discovery HSE,2019,2020-10-07,Brake Replacement,227.66
282,Ford,Transit-350 XLT,2020,2020-10-08,Oil Change,395.86
283,INFINITI,Q70 3.7,2014,2020-10-09,Engine Check,211.98
284,Jeep,Gladiator Rubicon,2022,2020-10-10,Oil Change,168.42
285,Lincoln,MKX Base,2010,2020-10-11,Tire Rotation,56.01
286,Porsche,911 Carrera 4S,2020,2020-10-12,Tire Rotation,454.4
287,Mercedes-Benz,AMG C 43 Base 4MATIC,2018,2020-10-13,Brake Replacement,56.22
288,Porsche,Cayman Base,2014,2020-10-14,Brake Replacement,467.32
289,Acura,MDX 3.7L Advance,2011,2020-10-15,Brake Replacement,171.9
290,Volkswagen,Golf R 4-Door w/DCC & Navigation,2018,2020-10-16,Brake Replacement,271.17
291,Kia,Forte GT-Line,2023,2020-10-17,Engine Check,372.82
292,BMW,M8 Competition,2020,2020-10-18,Oil Change,235.35
293,Lincoln,MKC Select,2019,2020-10-19,Engine Check,151.99
294,BMW,i8 Base,2015,2020-10-20,Tire Rotation,109.41
295,Toyota,Highlander XLE,2021,2020-10-21,Tire Rotation,78.49
296,Mazda,CX-30 Premium Package,2023,2020-10-22,Engine Check,443.3
297,Porsche,Cayenne Platinum Edition,2018,2020-10-23,Engine Check,360.62
298,Lincoln,MKZ Reserve,2017,2020-10-24,Brake Replacement,368.79
299,Tesla,Model 3 Standard Range Plus,2021,2020-10-25,Brake Replacement,466.18
300,Porsche,718 Cayman S,2019,2020-10-26,Brake Replacement,407.14
301,Chevrolet,Corvette Base,2005,2020-10-27,Oil Change,464.55
302,Acura,RSX Type S,2002,2020-10-28,Brake Replacement,93.1
303,Ferrari,Roma Base,2021,2020-10-29,Engine Check,453.18
304,Porsche,Cayman S,2007,2020-10-30,Brake Replacement,458.3
305,Rolls-Royce,Phantom Drophead Coupe Drophead,2013,2020-10-31,Oil Change,188.69
306,Audi,SQ7 4.0T,2022,2020-11-01,Brake Replacement,51.74
307,Mercedes-Benz,AMG GLS 63 4MATIC,2022,2020-11-02,Tire Rotation,452.18
308,Honda,Ridgeline RTL-E,2021,2020-11-03,Tire Rotation,133.38
309,Mercedes-Benz,CLK-Class 500 Cabriolet,2005,2020-11-04,Oil Change,209.02
310,Lexus,GX 470 Base,2004,2020-11-05,Oil Change,472.98
311,Lexus,NX 200t Base,2015,2020-11-06,Brake Replacement,448.18
312,Dodge,Dakota SLT Quad Cab,2007,2020-11-07,Oil Change,342.13
313,Maserati,Ghibli S Q4 GranSport,2020,2020-11-08,Oil Change,155.7
314,Land,Rover Discovery Sport SE R-Dynamic,2020,2020-11-09,Oil Change,190.2
315,Aston,Martin DBX Base,2021,2020-11-10,Engine Check,202.3
316,Audi,Q3 45 S line Premium,2022,2020-11-11,Tire Rotation,116.62
317,Ford,Explorer XLT,2020,2020-11-12,Oil Change,482.53
318,Mercedes-Benz,AMG GLC 63 Base 4MATIC,2018,2020-11-13,Engine Check,342.27
319,Subaru,BRZ Premium,2023,2020-11-14,Oil Change,211.09
320,BMW,640 i,2016,2020-11-15,Tire Rotation,470.48
321,Kia,Stinger GT2,2020,2020-11-16,Brake Replacement,292.25
322,Chevrolet,Bolt EUV Premier,2022,2020-11-17,Oil Change,146.97
323,Subaru,Forester 2.5 XT,2004,2020-11-18,Oil Change,251.71
324,Kia,Sportage X-Pro,2023,2020-11-19,Engine Check,375.48
325,BMW,M4 Base,2016,2020-11-20,Oil Change,59.04
326,Hyundai,Equus Signature,2013,2020-11-21,Tire Rotation,423.26
327,Mercedes-Benz,AMG E 53 4MATIC,2020,2020-11-22,Oil Change,200.48
328,BMW,M550 i xDrive,2020,2020-11-23,Tire Rotation,147.61
329,Subaru,Impreza WRX STI,2014,2020-11-24,Oil Change,492.47
330,Mercedes-Benz,AMG G 63 Base,2019,2020-11-25,Tire Rotation,213.45
331,Mazda,Mazda6 Grand Touring,2020,2020-11-26,Engine Check,412.11
332,Hyundai,Veloster Base,2013,2020-11-27,Tire Rotation,167.42
333,Bentley,Bentayga S,2023,2020-11-28,Oil Change,147.25
334,Land,Rover Defender X-Dynamic SE,2023,2020-11-29,Engine Check,395.06
335,Kia,Telluride SX,2020,2020-11-30,Engine Check,427.11
336,Maserati,GranTurismo Sport,2015,2020-12-01,Engine Check,356.31
337,BMW,540 i xDrive,2020,2020-12-02,Engine Check,379.79
338,INFINITI,M56 Base,2011,2020-12-03,Brake Replacement,464.97
339,Mazda,Mazda3 s Grand Touring,2016,2020-12-04,Oil Change,242.87
340,Chevrolet,Corvette Stingray w/1LT,2023,2020-12-05,Engine Check,259.46
341,Audi,Q5 S line Premium Plus,2023,2020-12-06,Tire Rotation,173.35
342,Lexus,GX 460 Base,2018,2020-12-07,Brake Replacement,62.98
343,BMW,X1 sDrive28i,2014,2020-12-08,Tire Rotation,473.38
344,Alfa,Romeo Stelvio Ti,2020,2020-12-09,Tire Rotation,67.21
345,RAM,1500 Big Horn,2021,2020-12-10,Tire Rotation,465.76
346,BMW,M4 Base,2015,2020-12-11,Oil Change,194.31
347,Tesla,Model X Long Range,2022,2020-12-12,Engine Check,161.55
348,Volvo,S90 T5 Momentum,2018,2020-12-13,Tire Rotation,423.62
349,Subaru,Impreza WRX Sti,2005,2020-12-14,Oil Change,154.88
350,BMW,X6 xDrive40i,2020,2020-12-15,Oil Change,412.69
351,Cadillac,CTS 2.0L Turbo Luxury,2014,2020-12-16,Oil Change,446.09
352,Land,Rover Discovery Sport HSE,2016,2020-12-17,Engine Check,432.61
353,Genesis,G90 5.0 Ultimate,2017,2020-12-18,Tire Rotation,287.49
354,Mercedes-Benz,CLK-Class CLK 350,2009,2020-12-19,Tire Rotation,61.37
355,Land,Rover Range Rover Autobiography,2023,2020-12-20,Oil Change,208.47
356,Kia,Optima EX,2019,2020-12-21,Engine Check,492.0
357,Toyota,Highlander SE,2018,2020-12-22,Brake Replacement,302.08
358,Mercedes-Benz,Sprinter 4500 High Roof,2019,2020-12-23,Brake Replacement,174.48
359,BMW,X1 xDrive28i,2020,2020-12-24,Tire Rotation,452.79
360,Audi,R8 5.2,2015,2020-12-25,Oil Change,63.1
361,Audi,S3 2.0T Tech Premium Plus,2018,2020-12-26,Brake Replacement,146.31
